Name;ID;Status;Pedigree;Source;Center;Release Year;Agroecology;Region_1;Region_2;Region_3;Longitude;Latitude;Genetic cluster;Altitude;bio1;bio2;bio3;bio4;bio5;bio6;bio7;bio8;bio9;bio10;bio11;bio12;bio13;bio14;bio15;bio16;bio17;bio18;bio19;DH;DH.Adet;DH.Akaki;DM;DM.Adet;DM.Akaki;PH;PH.Adet;PH.Akaki;PL.x;PL.Adet;PL.Akaki;PBPM;PBPM.Adet;PBPM.Akaki;TT;TT.Adet;TT.Akaki;CLF;CLF.Adet;CLF.Akaki;CDF;CDF.Adet;CDF.Akaki;PW;PW.Adet;PW.Akaki;PY;PY.Adet;PY.Akaki;GY;GY.Adet;GY.Akaki;BY;BY.Adet;BY.Akaki;HI;HI.Adet;HI.Akaki;GFP;GFP.Adet;GFP.Akaki;GFR;GFR.Adet;GFR.Akaki;BPR;BPR.Adet;BPR.Akaki;PA;PA.Adet;PA.Akaki;PA.M;PA.W;PA.Adet.M;PA.Adet.W;PA.Akaki.M;PA.Akaki.W;OA;OA.Adet;OA.Akaki;OA.M;OA.W;OA.Adet.M;OA.Adet.W;OA.Akaki.M;OA.Akaki.W;lat;lon;DMSlat;DMSlon;altitude;Edate;Hdate;Mdate;GfilP;PL.y;NV;NVc;Plc;Gfpc;PCMdate;SBP;Ptype;SC;PCHdate;Edatec;Hdatec;Mdatec
236320;T_247;landrace;NA;EBI;NA;NA;M2;Oromia;Horo Guduru;Guduru;37.45;9.9;6;1380;21.3;15;0.72;13.81;32;11.4;20.6;20.4;21.1;23.3;19.9;1096;283;3;102;692;16;170;679;45.07598005;45.19163296;45.13081981;94.6029248;94.80394263;94.79002161;70.3003078;82.44901855;54.28207353;27.22823054;29.28585684;23.03336517;21.12894117;19.04641155;21.71328873;7.451326748;9.377253964;5.394422483;3.938900099;3.299889749;2.841787551;1.962464803;2.117358425;1.580642833;2.070670203;1.976147784;1.93199138;1.327520408;0.968652709;1.461140575;1464.372014;1828.15374;1100.45601;7609.674344;9417.545535;5689.654719;0.197015525;0.195425387;0.198571517;49.40526534;49.21478846;49.30039091;29.71234888;37.13134973;22.34242065;80.30298844;98.91086079;59.75429895;2.83819085;2.811827877;2.61639172;2.97292348;2.742191678;3.264116441;2.444698177;2.765136505;3.13222866;3.580350429;3.836005101;3.121295058;3.807220908;3.317860359;3.842167412;3.570979421;3.376660641;3.010280698;9.9;37.45;09 54.00;37 27.00;1380;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
236353;T_248;landrace;NA;EBI;NA;NA;SH3;Oromia;Misraq Wellega;Guto Wayu;36.55;9.083333333;5;2064;17.7;13;0.78;12.59;27.1;10.5;16.6;16.1;18.4;19.3;16;1994;393;9;85;1100;43;162;1037;42.62341381;42.80362624;42.71847028;94.6029248;94.80394263;94.79002161;72.9360372;87.61113951;57.00756304;30.22020999;32.11408663;28.71674585;21.4606161;19.95720633;21.71328873;7.604972485;9.77311194;5.632966033;4.308779855;6.057869256;3.140034461;1.931172345;1.866864598;1.494502081;1.98525938;1.707743186;1.887840833;1.306800339;0.968652709;1.369793225;1265.873295;1629.261546;899.7074713;7474.205219;9243.336317;5622.852582;0.177198729;0.185175743;0.167974733;51.71842283;51.1880787;51.37799355;24.49921085;31.7075172;17.46182614;78.88883527;97.16048234;59.06264952;3.264222189;2.859015079;3.920943935;3.244609596;3.160068434;3.264116441;2.531083383;3.199278012;3.788976933;2.745835295;2.365957347;3.428828751;2.4454516;3.048196837;2.406723705;2.45560699;2.670018076;3.93784991;9.083333333;36.55;09 05.00;36 33.00;2064;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
236355;T_249;landrace;NA;EBI;NA;NA;SH3;Oromia;Misraq Wellega;Sasiga;36.49316667;9.16;6;1758;19.2;13.4;0.73;13.67;29.2;10.9;18.3;17.7;19.5;21.1;17.5;1758;353;8;88;989;33;124;940;44.34021018;44.71403161;44.16588;95.5653193;95.69999637;95.67628259;74.49908603;84.9378983;64.27553509;28.95888532;30.08129647;27.0929228;22.42548861;20.95080064;23.43318054;7.29768101;6.276366483;7.600950318;4.182242044;3.749072079;4.333022098;2.036068191;2.646703869;1.843850685;2.082871749;2.020881884;1.93199138;1.296440304;1.199251086;1.095751176;1108.979464;1444.134328;769.2183733;5384.098203;7361.84248;3819.234971;0.207824687;0.202258483;0.213869908;51.02447558;50.3987626;50.96247302;21.86724568;28.76470323;15.20570227;56.61877859;77.61193759;40.38425095;3.227272456;3.032034818;3.558568319;3.343176318;3.031962492;3.552550372;2.444698177;3.046051597;3.650714139;2.4720474;2.348456778;2.681961211;2.4667289;2.530443122;2.611787092;2.097094422;2.05170583;3.319470435;9.16;36.49316667;09 09.60;36 29.59;1758;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
236367;T_250;landrace;NA;EBI;NA;NA;SH3;Oromia;Misraq Wellega;Diga Leka;36.5;8.833333333;6;2114;18;13.6;0.79;10.58;27.4;10.2;17.2;16.7;18.5;19.4;16.6;1964;365;13;82;1042;50;187;999;44.5854668;44.71403161;44.64834991;94.12172755;94.35591576;94.34689112;70.20836375;82.63338001;53.82782528;29.75087988;32.90952626;26.68696704;22.57624994;22.19279353;22.57323464;7.835441092;10.30092257;6.050417245;3.917269704;3.299889749;2.671360746;1.977890663;2.462378223;1.398790135;2.263454631;2.906617058;1.711238641;1.368960545;1.752687191;0.867382802;1575.075602;1939.07677;1212.414331;7125.854049;9034.27773;5222.051786;0.220435376;0.212508128;0.2291683;49.40526534;49.21478846;49.30039091;31.94028431;39.3271417;24.55250119;75.60589811;95.43795082;55.18323037;3.251010612;3.189325491;3.413618073;3.19800374;3.300702211;3.408333406;2.934214343;2.96943839;3.61614844;3.343365557;3.345989183;3.340961981;3.21144715;3.451665389;3.047546789;3.69048361;3.641651604;3.133956593;8.833333333;36.5;08 50.00;36 30.00;2114;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
236512;T_435;landrace;NA;EBI;NA;NA;SM3;Tigray;Semien Mi'irabaw;Asegede Tsimbela;38.28333333;14.1;1;1903;20.4;15.8;0.7;17.3;32;9.7;22.3;19.4;19.5;22.8;18.7;903;296;0;134;689;3;188;680;44.09495356;44.23643027;44.16588;94.6029248;94.80394263;94.79002161;70.79067606;85.30662122;52.91932877;29.98554493;35.38422733;25.06314399;22.48579314;23.60038546;20.85334283;7.589607912;7.859798388;7.302770881;4.090312865;3.883826778;3.480888071;2.015353465;1.521844799;2.757899771;1.960856288;2.423488781;1.093130972;1.373104559;1.821866704;0.817141759;1462.461831;2017.099718;905.8828527;7551.618138;9417.545535;5589.457526;0.193412471;0.212508128;0.171799331;50.33052833;50.00410456;50.13143196;29.10976738;40.16018442;18.06038962;79.64503026;98.86710133;58.68398112;3.204079169;3.236512692;3.196192704;3.279250173;3.13633364;3.552550372;2.819034068;2.943900655;3.443319948;3.244903074;3.625998279;2.550161057;3.296557175;3.273284701;3.432040639;3.73031834;2.670018076;2.70109096;14.1;38.28333333;14 06.00;38 17.00;1903;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
236519;T_117;landrace;NA;EBI;NA;NA;M3;Amhara;Debub Gondar;Kemekem;37.7;12.3;4;2727;14.6;14.5;0.73;11.8;24.5;4.9;19.6;14;14.4;16.3;13.4;1317;383;7;116;906;25;148;105;52.18842217;54.74365981;49.47304897;98.45250281;98.3881576;98.33506552;85.1952437;109.7345151;71.54350713;34.32684845;44.9295029;28.31079009;26.01360827;27.9059608;26.4429912;7.589607912;8.519561682;6.706412007;4.528328365;7.117939555;3.864348384;2.06736065;2.566356793;2.264983248;2.497724317;3.183968476;2.285195763;1.576161234;2.306123296;1.2327722;1889.238888;2210.640141;1573.76448;7203.264646;8790.382316;5589.453518;0.251061334;0.239840513;0.263589681;46.3981606;44.47889187;48.88487038;41.35994914;50.37401262;32.10360968;73.16140071;89.51451103;56.80223099;3.559251338;4.022966053;3.232430266;3.534787358;3.690427434;4.026406116;3.59650092;2.841749712;3.61614844;4.068921208;3.923507944;4.351429828;3.849776864;4.153647946;3.534572332;4.248169826;4.613285132;3.876011962;12.3;37.7;12 18.00;37 42.00;2727;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
236535;T_276;landrace;NA;EBI;NA;NA;M4;Oromia;North Shewa;Degem;38.65983333;9.659833333;3;2724;13.7;13.6;0.7;13.33;23.7;4.5;19.2;12.7;12.5;15.5;12.4;1112;296;6;104;717;28;206;39;46.05700655;46.14683564;46.09575963;114.8132093;113.6210712;113.4015022;67.11291411;78.85397002;48.37684624;27.46289559;26.89953795;25.87505551;22.42548861;20.12280538;24.29312644;6.959660388;7.793822059;4.917335384;3.998383686;4.06349971;2.586147343;1.973042536;2.093726932;1.719425155;2.058468657;2.199818283;1.667088094;1.223920063;1.15313141;0.821709127;1183.417056;1496.917662;866.5049519;5538.919397;7501.21069;3952.835237;0.216832322;0.202258483;0.232992898;67.91052524;65.00111041;65.92121203;17.68611504;22.69345163;13.04166508;49.05454412;68.4423414;36.49710387;3.220394233;3.016305751;3.558568319;3.305690841;3.061104683;3.449538254;2.559878451;3.097127069;3.581582742;2.311925456;2.435959621;2.066893826;2.424173718;2.291995775;2.509255398;2.45560699;2.228366472;2.330063275;9.659833333;38.65983333;09 39.59;38 39.59;2724;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
236536;T_103;landrace;NA;EBI;NA;NA;SM3;Amhara;North Shewa;Moretna Jiru;39.32;10.10033333;2;1636;20.5;13.8;0.73;13.17;29.8;11.1;18.7;19.6;19.2;22.4;19.2;914;226;10;86;523;47;225;47;45.07598005;45.6692343;44.64834991;94.6029248;94.80394263;94.79002161;72.53761299;91.94363389;51.55658401;27.75622691;30.43482519;23.43932094;20.46559132;19.29481013;19.56342398;8.250284583;10.63080422;7.362406768;4.052459674;4.333009108;2.756574149;1.90252432;1.41786623;1.638070001;2.448918132;3.183968476;2.108593572;1.669401544;2.536721673;1.4154669;1944.437226;2445.948246;1447.908076;8557.965186;10427.97656;6357.664062;0.22403843;0.226174321;0.221519104;49.40526534;48.82013041;49.71591144;39.60992317;49.93032682;29.06474894;90.183784;109.0948808;66.57419417;3.152156871;3.220783625;3.051242458;3.270882868;3.051610766;3.634960066;2.675058725;2.841749712;3.443319948;4.085693498;4.046011923;4.17569629;3.977442507;4.078012228;3.790901566;4.128665637;4.259963849;3.876011962;10.10033333;39.32;10 06.02;39 19.20;1636;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
236541;T_277;landrace;NA;EBI;NA;NA;M2;Oromia;North Shewa;Yaya Gulelena D/Liba;38.13333333;9.683333333;3;1767;19.7;14.7;0.74;16.04;30.1;10.4;19.7;18.4;19.2;21.8;17.7;950;263;2;105;617;19;163;599;43.60444031;43.75882893;43.68341009;85.94137428;86.73945897;86.8136728;69.77929153;84.56917537;50.64808751;28.78288653;29.99291429;26.68696704;23.93310191;23.43478641;25.15307234;7.850805665;8.519561682;7.720222093;4.339062408;6.938266623;2.543540642;2.003894255;2.107905827;2.040060175;2.387910402;2.781361579;2.285195763;1.555441165;2.16776427;1.278445875;1352.143029;1715.702289;986.9550014;6738.796421;8581.32791;4988.246311;0.204221633;0.205675032;0.202396114;42.46579288;43.29491773;43.06758299;31.82022976;40.40466435;23.2172442;78.03668804;98.0038465;56.80223099;3.075343491;2.607350004;3.667281004;3.087639134;2.944866138;3.078694628;2.329517902;3.14820254;3.61614844;2.853467554;3.135982361;2.330494134;2.977392342;2.819470395;3.175711405;3.013293205;2.228366472;2.70109096;9.683333333;38.13333333;09 41.00;38 08.00;1767;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
236739;T_93;landrace;NA;EBI;NA;NA;M3;Amhara;North Shewa;Mafudmezezo Mojana;39.81666667;9.9;3;1871;19.3;13.6;0.69;13.81;29.1;9.5;19.6;19.2;17.5;21.2;17.5;1043;254;13;79;556;66;270;66;61.75343053;61.43007861;61.53479664;112.4072231;112.2769906;110.2995887;76.98157534;100.7008034;56.09906654;30.83620576;38.8311324;24.25123246;26.79756719;30.05874846;26.4429912;7.743253649;8.189680035;7.600950318;4.440184505;6.026426493;4.205201994;2.022405287;2.675061661;1.666783584;2.14387948;2.155084183;2.020292476;1.400040649;1.199251086;1.552487924;1375.046903;1738.651565;1010.118473;6642.031433;8546.482721;4854.646046;0.207824687;0.205675032;0.21004531;50.79315983;51.1880787;49.71591144;26.96494664;33.7810692;20.27047015;59.63213567;77.95405701;45.14851769;3.314738796;3.566823104;3.087480019;3.402165737;3.284087856;3.758574608;3.135779823;2.918362919;3.37418855;3.186260459;3.100981224;3.340961981;2.764616432;3.651385232;2.663052938;3.73031834;3.111669679;3.504984277;9.9;39.81666667;09 54.00;39 49.00;1871;8;55;102;47;24;3;2;2;2;4;1;3;5;5;3;3;3
