Et_family	RIL	code	DB	DH	DF	DM	NSPKPS	NSePS	SPL_cm	PH_cm	NTPP	TGW_gm	BM_ton_ha	GY_ton_ha	PVSfemale	PVSmale
3	33	3_33	72.33	76.61	82.5	126.9	18.35	33.01	5.894	89.54	3.773	32.21	7.888	2.192	2.576	2.24
3	34	3_34	64.02	68.4	73.16	126.1	17.81	38.16	5.803	88.52	4.497	29.88	7.306	1.555	2.644	1.859
3	35	3_35	74.02	77.86	83.93	127.2	17.32	32	5.458	90.69	4.288	35.78	6.396	1.255	2.602	2.573
3	36	3_36	63.41	67.58	73.6	127.8	17.24	32.24	5.34	96.79	4.275	37.65	9.744	1.944	2.672	2.216
3	37	3_37	65.79	70.11	75.49	124.5	17.21	43.81	5.127	90.47	4.532	39.46	6.879	1.819	2.67	2.696
3	38	3_38	74.28	79.21	84.43	127.7	17.98	32.13	6.012	95.65	5.026	33.28	6.875	1.018	2.019	1.903
3	39	3_39	74.61	79.4	85.55	134.1	18.4	38.38	5.778	95.48	4.252	33.25	8.123	1.183	2.559	2.336
3	40	3_40	75.97	79.97	86.18	127	19.33	38.45	6.512	96.85	4.34	28.79	6.879	1.289	1.954	1.714
3	41	3_41	62.16	67.6	72.6	118.6	15.25	35.33	6.393	87.04	4.783	35.92	7.12	1.369	2.24	3.1
3	42	3_42	71.24	75.41	81.61	128.3	17.2	33.68	5.468	92.49	4.113	31.51	7.775	1.413	1.814	2.532
3	43	3_43	75.71	80	85.21	129.9	17.26	24.42	6.044	99.02	3.753	32.17	6.123	1.1	2.265	2.083
3	44	3_44	80.43	84.93	90.29	131.4	16.44	34.62	5.789	88.19	4.527	32.78	5.707	0.922	1.552	1.894
3	45	3_45	69.16	73.35	78.89	129	16.56	26.78	5.264	95.87	4.455	36.94	8.246	1.438	1.767	1.949
3	46	3_46	80.2	84.94	88.32	134.5	17.6	40.12	5.541	87.86	4.604	28.85	6.35	0.628	1.598	1.851
3	47	3_47	58.74	63.48	71	126.6	17.24	33.74	5.494	84.59	4.309	33.53	6.163	1.418	2.447	2.538
3	49	3_49	60.39	65.36	70.67	122	15.87	33.82	4.971	89.01	4.772	34.83	7.116	1.769	3.239	3.275
3	50	3_50	65.59	69.92	74.85	125.6	17.54	26.76	5.49	87.81	3.955	30.62	6.238	1.12	2.091	2.732
3	51	3_51	74.31	78.32	83.73	126.9	19.52	35.71	6.03	93.08	4.68	35.87	8.172	1.523	2.117	1.98
3	52	3_52	66.88	70.89	75.29	126.2	16.91	27.4	5.545	85.62	4.313	36.23	5.497	1.432	2.678	2.605
3	53	3_53	67.99	71.8	77.07	126.2	16.83	31.53	5.032	87.56	4.499	40.67	6.584	1.333	2.453	2.329
3	54	3_54	63.28	67.41	72.43	129.4	18.1	38.21	5.78	91.26	4.008	33.65	6.446	1.769	3.094	3.292
8	16	8_16	66.96	70.82	77.25	126.5	17	25.85	5.76	101.16	4.393	32.42	7.112	1.095	3.005	3.286
8	17	8_17	66.51	70.9	76.03	124.5	16.76	31.76	5.476	95.5	4.457	30.35	8.306	1.693	2.574	2.438
8	18	8_18	63.77	68.03	73.47	123.3	15.51	29.14	5.394	89.33	5.019	28.02	7.199	1.26	2.04	2.417
8	19	8_19	54.61	59.74	65.54	117.7	15.84	32.58	5.747	82.54	3.943	34.43	4.857	1.257	2.27	2.268
8	20	8_20	65.35	68.94	74.95	121.8	14.89	25.19	5.211	86.38	4.244	36.67	9.008	1.106	1.618	1.889
8	21	8_21	60.74	64.42	69.91	119.7	16.1	39.66	5.302	80.69	4.227	36.74	6.99	1.588	2.358	2.624
8	22	8_22	54.52	59.13	64.82	120.6	15.66	21.43	5.637	95.74	4.699	43.37	5.529	1.377	2.38	2.215
8	23	8_23	62.4	66.26	72.53	123.1	16.22	35.9	5.27	88.5	4.5	28.7	5.59	0.925	2.216	2.401
8	25	8_25	65.76	69.18	73.98	126.5	17.9	38.25	5.7	94.54	4.473	33.52	8.554	1.481	2.524	1.904
8	26	8_26	65.44	69.24	75.08	122.2	16.62	38.58	5.631	104.35	4.334	33.06	7.019	1.626	2.329	2.293
8	27	8_27	74.32	78.71	84.32	132.7	17.79	32.18	6.344	99.64	4.549	29.67	8.608	1.237	1.859	1.945
8	28	8_28	62.02	66.28	71.26	119.7	16.98	35.99	5.848	99.56	3.992	33.89	9.113	1.831	2.428	2.719
8	29	8_29	74.23	79.08	85.25	132.4	17.4	30.64	5.889	96.52	4.253	32.63	7.371	1.12	2.023	2.437
8	30	8_30	60.25	64.26	69.61	120.3	16.8	35.59	5.404	99.81	4.585	33.64	7.075	1.33	2.125	2.232
8	31	8_31	66.55	70.84	76.14	122.4	17.42	27.69	5.339	92.11	4.741	29.12	6.959	1.286	2.985	3.046
8	32	8_32	67.8	72.12	77.95	123.8	17.84	33.01	5.27	96.22	4.042	34.72	6.552	1.551	2.697	3.256
8	33	8_33	64.37	67.98	72.44	123	16.21	31.46	5.438	58.08	5.127	32.92	4.522	0.453	0.965	2.522
8	34	8_34	59.71	63.69	69.39	122	15.06	33.57	5.158	81.94	4.222	28.95	7.384	1.69	2.464	2.251
8	35	8_35	60.58	65.05	70.62	119.5	16.01	30.45	5.487	99.29	4.444	36.72	6.72	1.379	2.225	2.424
8	37	8_37	57.22	61.43	70.5	122.1	16.36	28.08	5.342	96.39	4.483	36.02	7.771	1.688	2.436	2.469
8	39	8_39	61.74	65.75	71.39	121	16.13	32.92	5.338	85.86	5.037	38.55	9.838	1.706	2.998	3.167
8	41	8_41	61.4	66.64	71.39	126.6	14.57	33.02	5.174	91.88	4.974	29.64	6.938	1.182	2.243	2.257
8	42	8_42	75.06	79.23	84.66	125.1	16.2	37.11	5.612	101.1	4.875	26.34	7.126	1.059	1.627	1.887
8	43	8_43	78.28	82.41	88.99	134.1	17.55	30.92	5.634	90.2	4.611	32.13	8.037	1.166	2.237	1.969
8	44	8_44	70.13	75.33	81.1	128.2	17.52	26.93	5.215	97.12	4.685	35.42	9.21	1.631	3.275	3.458
8	45	8_45	58.2	62.05	68.29	120.4	17.45	34.58	5.641	87.37	4.744	31.58	7.139	1.767	2.203	2.769
8	46	8_46	59.53	63.6	69.18	122.2	16.94	37.77	5.709	98.61	4.71	40.32	8.596	1.921	2.354	2.599
8	47	8_47	65.45	69.14	74.75	126.8	19.2	33.12	6.034	100.91	4.617	36.58	7.88	1.473	2.543	2.413
8	48	8_48	73.9	79	83.74	124.5	16.64	36.27	6.34	89.72	4.449	32.01	6.09	1.137	2.028	1.809
8	49	8_49	63.26	67.24	73.1	119.3	17.15	35.58	6.094	95.76	4.045	33.78	9.021	1.403	2.661	2.71
8	50	8_50	75.06	79.21	85.99	128.6	16.57	29.73	5.721	96.73	4.451	31.58	7.774	1.399	2.916	2.936
8	52	8_52	66.6	71.04	76.03	126.9	15.91	28.11	4.837	92.37	4.619	28.66	8.544	1.583	2.196	2.253
8	53	8_53	61.68	65.14	70.59	123.5	17.26	30.4	6.18	98.26	5.191	38.44	8.48	1.983	2.869	2.616
8	54	8_54	63.24	67.24	73.73	123.8	17.57	34.78	6.467	102.7	4.63	36.4	8.718	1.663	3.284	3.027
8	55	8_55	61.54	66.35	71.08	121.5	16.5	38.92	5.946	94	4.03	33.24	7.828	1.679	2.254	2.984
8	56	8_56	55.88	60.32	66.46	118.8	16.62	30.7	5.43	94.62	5.335	33.69	7.126	1.724	2.554	2.431
8	57	8_57	71.21	75.67	81.35	125.4	16.15	31.56	5.709	95.08	4.679	38.22	6.749	1.167	2.539	2.549
8	58	8_58	58.89	63.53	67.65	118.7	16.04	35.22	5.659	91.61	5.151	31.07	7.281	1.402	2.171	2.273
8	59	8_59	59.2	63.51	68.91	123.3	16.94	28.34	5.329	92.91	4.805	35.96	7.81	1.724	3.147	2.516
8	60	8_60	59.72	64.72	69.9	120.8	17.01	37.23	6.247	100.04	4.652	36.65	6.85	1.463	2.091	2.708
8	61	8_61	63.57	67.98	74.86	119.3	17.03	42.83	5.447	97.35	4.522	37.52	7.005	1.531	3.103	3.435
8	62	8_62	63.73	67.85	72.95	122.3	17.22	33.44	5.778	95.36	4.148	30.65	7.945	1.956	2.698	2.623
8	63	8_63	68.76	72.84	78.6	123.3	18.02	28.07	6.843	99.72	4.18	24.89	7.003	1.193	1.9	2.012
8	64	8_64	60.95	65.17	70.45	119.1	16.16	31.5	5.276	94.46	4.584	27.17	6.506	1.334	1.955	2.599
8	65	8_65	67.17	71.19	76.43	124.3	16.48	36.54	5.849	95.87	4.259	37.98	7.881	1.504	2.382	2.549
8	66	8_66	68.71	73.11	78.7	123.2	16.64	31.95	5.93	98.22	4.143	35.27	9.269	1.711	2.607	2.304
8	67	8_67	60.42	64.47	70	118.9	16.44	38.69	5.507	90.84	4.309	30.46	6.154	1.533	2.09	2.317
8	68	8_68	61.9	66.09	71.72	121.3	17.73	33.97	5.845	102.71	4.687	31.22	7.676	1.905	2.592	2.501
8	69	8_69	60.84	65.39	69.96	118.1	15.68	35.58	5.431	91.8	4.292	31.32	6.051	1.263	2.192	1.747
8	71	8_71	65.22	69.8	76.65	125.1	16.95	34.67	5.514	101.55	4.522	33.22	6.388	1.469	2.684	2.759
