Accession;Region;Zone;District;Locality;Lat;Long;Edate;Hdate;Mdate;GfilP;PL;Ptype;SC
9172;Oromiya;West Welega;BEDENO;20 Km South of Bedeno town on the way to Goloda wered;08-07-49-N;41-34-21-E;7;57;117;60;42;5;5
9173;Oromiya;West Welega;GIRAWA;Rasa janeta kebele 9.5 km North of Girawa town on the way to;09-11-12-N;41-47-25-E;7;54;98;44;36;2;3
9174;Oromiya;West Welega;GIRAWA;Chulul jiru  Berina kebele 26 km N.east of Girawa town;08-59-29-N;41-46-33-E;7;57;120;63;38;5;5
9175;Oromiya;West Welega;GIRAWA;Lafto heletaise kebale 18 km N.east of Girawa town;09-02-49-N;41-45-49-E;8;57;117;60;36;5;5
9176;Oromiya;West Welega;GIRAWA;Lafto somolo to kebele 16 km N.east of Girawa town;09-04-30-N;41-46-02-E;7;50;98;48;36;2;4
9177;Oromiya;West Welega;GORO GUTU;Werji Jallela kebele 2 km north of Boreda to;09-19-33-N;41-16-18-E;5;45;97;52;20;2;3
9179;Oromiya;West Welega;META;Chefa aneni kebele 20 km from Cherenko town;09-16-29-N;41-33-54-E;7;46;97;51;28;2;3
9392;Tigray;Central Tigray;AXUM;Endayesus 18km from Adwa on the way to the main road S.W Axu;14-08-33-N;38-47-56-E;6;45;94;49;20;3;3
9393;Tigray;Central Tigray;AXUM;Endayesus 10 km from Adwa on the way to S.W Axum;14-08-33-N;38-47-56-E;7;52;98;46;18;2;3
9394;Tigray;Central Tigray;AXUM;Endayesus 12 km from Adwa on the way to S.E Axum;14-08-28-N;38-47-58-E;7;50;102;52;40;2;4
9395;Tigray;Central Tigray;ADI ABUN;Lakia 5 km from Axum to Adua;14-08-21-N;38-47-36-E;6;56;102;46;33;2;4
9396;Tigray;Central Tigray;LAELAY MAYCHEW;Zorat Dibdibo 4 km from Axum to Adua;14-08-6-N;38-46-54-E;7;48;98;50;46;3;4
9397;Tigray;Central Tigray;LAELAY MAYCHEW;Laila Mychew 3 km Hassebo 3 km Axum to Adua;14-08-6-N;38-46-08-E;7;48;94;46;42;3;4
9398;Tigray;Central Tigray;LAELAY MAYCHEW;Lesalso 3 km Axum to Adua Norther of the Airport;14-08-29-N;38-46-47-E;7;48;94;46;26;3;1
9399;Tigray;Central Tigray;LAELAY MAYCHEW;Lesalso 3km from  Axum to Adua Norther of Axum Airport;14-08-29-N;38-46-47-E;7;50;101;51;25;3;4
9400;Tigray;Central Tigray;LAELAY MAYCHEW;Ade dege 5 km from Axum Norther of Axum near the Airport;14-09-12-N;38-46-28-E;8;55;102;47;28;3;4
9401;Tigray;Central Tigray;LAELAY MAYCHEW;Daeromesh 1 1/2 km from Axam to Adwa;14-07-29-N;38-45-32-E;7;48;98;50;32;2;3
9402;Tigray;Central Tigray;LAELAY MAYCHEW;Semeret 5 km Axum - Nadier South East of Axum;14-06-50-N;38-45-40-E;7;48;100;52;37;3;4
9403;Tigray;Central Tigray;LAELAY MAYCHEW;Hatsebo 6 1/2 km from Axum - Nadier;14-06-19-N;38-46-36-E;6;57;103;46;30;4;4
9404;Tigray;Central Tigray;LAELAY MAYCHEW;My shero 7 km from Axum - Nadier;14-06-19-N;38-46-36-E;6;49;99;50;40;4;4
9405;Tigray;Central Tigray;LAELAY MAYCHEW;My shero 8 km from Axum - Nadier wereda;14-05-44-N;38-47-4-E;7;56;98;42;23;2;5
9406;Tigray;Central Tigray;LAELAY MAYCHEW;My shero 8 km from Axum - Nadier;14-03-58-N;38-47-28-E;6;45;94;49;24;2;3
9407;Tigray;Central Tigray;LAELAY MAYCHEW;Seglamen 19 km from Axum to S.W of Seglamen;14-02-51-N;38-39-27-E;6;51;99;48;28;4;4
9408;Tigray;Central Tigray;LAELAY MAYCHEW;Seglamen 12 km from Axum to S.W of Seglamen;14-02-56-N;38-39-18-E;6;45;95;50;23;2;3
9409;Tigray;Central Tigray;LAELAY MAYCHEW;Adikolakal 7 km from Axum on the way to S.W of Seglamen;14-02-54-N;38-39-13-E;6;45;95;50;29;3;4
9410;Tigray;Central Tigray;LAELAY MAYCHEW;Adikolakal 7 km from Axum on the way to S.W of Seglamen;14-03-37-N;38-39-19-E;7;57;106;49;42;4;5
9411;Tigray;Central Tigray;LAELAY MAYCHEW;Debrebrhan 8 km from Seglamen on the way to South -W of Axum;14-05-41-N;38-39-41-E;7;53;103;50;32;4;4
9412;Tigray;Central Tigray;LAELAY MAYCHEW;Debrebrhan 5 km from Seglamen on the way to S.E of Axum;14-05-42-N;38-39-42-E;8;57;103;46;38;4;5
9413;Tigray;Central Tigray;LAELAY MAYCHEW;Debrebrhan 5 km from Seglamen on the way to S.E of Axum;14-05-42-N;38-39-42-E;6;48;98;50;25;3;3
9414;Tigray;Central Tigray;LAELAY MAYCHEW;Duradubra 7 km from Axum to Shire;14-06-43-N;38-39-7-E;7;55;100;45;36;4;3
9415;Tigray;Central Tigray;LAELAY MAYCHEW;Duradubra 7 km from Axum to Shire;14-06-43-N;38-39-7-E;5;57;101;44;23;3;5
9416;Tigray;Central Tigray;TAHTAY MAYCHEW;My sye 10 km from Axum to Wukro;14-07-22-N;38-39-20-E;5;55;101;46;34;4;4
9418;Tigray;Western Tigray;SELEHLEHA;Adi kedeso 2 km from Selekleka to Shiro Road ( Mission);14-06-21-N;38-27-54-E;5;55;99;44;21;3;4
9419;Tigray;Western Tigray;SELEHLEHA;Adi kimalk 5 km from Selekleka to Shiro Road;14-05-33-N;38-25-51-E;5;49;99;50;40;4;3
9420;Tigray;Western Tigray;LAY KERARO;Abushela 6 km from Enda slasie to Selekleka Road;14-05-52-N;38-19-31-E;5;51;100;49;21;2;1
9421;Tigray;Western Tigray;TAHTAY KORARO;Koraro My Adrasha 5 km from Enda seasie to Axum;14-07-2-N;38-18-49-E;5;50;97;47;24;3;4
9422;Tigray;Western Tigray;TAHTAY KORARO;Adigdad 12 km Enda seasie to Axum;14-05-30-N;38-19-14-E;6;51;99;48;46;2;1
9423;Tigray;Western Tigray;TAHTAY KORARO;Adigdad 13 km Enda seasie to Axum Road;14-04-55-N;38-21-20-E;6;56;103;47;25;2;5
9424;Tigray;Western Tigray;TAHTAY KORARO;Belesa 15 km from  Enda seasie to Axum;14-03-42-N;38-21-29-E;7;56;101;45;19;3;4
9425;Tigray;Western Tigray;TAHTAY KORARO;16 km from  Enda seasie to Kelakle Road;14-02-48-N;38-22-57-E;5;47;95;48;23;3;3
9427;Tigray;Western Tigray;TAHTAY KORARO;Kelakle 22 km SE of Enda slasie Shire;14-01-44-N;38-22-16-E;7;50;96;46;50;3;3
9428;Tigray;Western Tigray;TAHTAY KORARO;Belese Enda seasie to  Selekleka (Axum);14-07-19-N;38-23-57-E;5;51;100;49;38;3;4
9429;Tigray;Western Tigray;TAHTAY KORARO;Adi menabir 25 km from Enda seasie  East of Enda seasie;14-03-18-N;38-24-40-E;7;54;100;46;36;3;4
9430;Tigray;Western Tigray;TAHTAY KORARO;Adi menabir 27km from Enda seasie to Zana RD Eof Enda seasie;14-02-45-N;38-25-11-E;7;56;102;46;24;4;4
9431;Tigray;Western Tigray;TAHTAY KORARO;Adi Berik 7 km from Selekaka to Zana;14-02-54-N;38-25-39-E;6;50;102;52;29;3;1
9432;Tigray;Western Tigray;TAHTAY KORARO;Adi biye 13 km from Selekaka to Zana;14-03-55-N;38-25-41-E;6;54;102;48;23;4;4
9433;Tigray;Western Tigray;TAHTAY KORARO;Adi Abezut 3 km from Enda slasie to Gonder RD;14-05-27-N;38-15-54-E;5;51;96;45;20;3;3
9434;Tigray;Western Tigray;TAHTAY KORARO;Adi bozet 3 km Enda slasie to Gonder RD;14-05-22-N;38-15-51-E;5;44;95;51;42;3;2
9435;Tigray;Western Tigray;TAHTAY KORARO;Abasege 7 km from Enda slasie to Gonder;14-00-48-N;38-13-45-E;7;47;98;51;40;2;5
9436;Tigray;Western Tigray;TAHTAY KORARO;13 km from Enda slasie to Gonder RD;14-05-51-N;38-00-55-E;7;45;94;49;35;2;1
9437;Tigray;Western Tigray;TAHTAY KORARO;Adi Etote 2 km from Enda slasie to Gonder Amhara Region;13-58-6-N;38-11-29-E;7;44;94;50;26;2;5
9438;Tigray;Western Tigray;TAHTAY KORARO;My liham Adi Hand/Adi Angi 2 km from shire to sheraro;14-07-49-N;38-16-34-E;7;45;97;52;23;3;4
9439;Tigray;Western Tigray;TAHTAY KORARO;Adi Hano 10 km from Enda slasie shire to sheraro RD;14-09-34-N;38-16-58-E;7;44;97;53;27;2;1
9440;Tigray;Western Tigray;SEMEMA;7 km from Enda slasie to Semema;14-10-1-N;38-17-43-E;6;50;97;47;18;2;2
9441;Tigray;Western Tigray;ADDI DAERO;My Ayni 30 km Enda slasie;14-10-47-N;38-13-54-E;6;45;98;53;29;3;4
9442;Tigray;Western Tigray;ADDI DAERO;Enda Mariam meahani 39 km from Enda slasie;14-10-47-N;38-13-54-E;6;44;98;54;24;3;3
9443;Tigray;Western Tigray;ADDI DAERO;9 km from Enda slasie  to Sheraro;14-19-47-N;38-10-17-E;6;51;97;46;40;4;5
9444;Tigray;Western Tigray;SHIRARO;Adi Hageray Dasat kebele about 60 km from Shire-Shraro;14-27-00-N;37-59-52-E;6;42;84;42;25;2;2
9445;Tigray;Western Tigray;SHIRARO;Adi Hageray 45 km from Shire Enda slasie to Shraro;14-26-42-N;37-57-57-E;6;42;83;41;23;2;2
9446;Tigray;NA;ADI GOSHM;My Keyih 7 km Shraro - Humera Road;14-05-50-N;37-24-3-E;6;45;94;49;21;1;3
9447;Tigray;Western Tigray;KAFTA HUMERA;Mylab Ferese 71 km from Shraro - Humera Road;14-09-33-N;38-21-5-E;6;45;98;53;24;2;1
9448;Amara;North Gondar;TIKIL DINGAY;My der- Meziba 18 km Tikildengay to Gonder;12-43-33-N;37-25-6-E;6;51;100;49;18;2;4
9449;Amara;North Gondar;DEMBIA;Amrach 38 km Koladiba Chohaite small town;12-24-59-N;37-19-00-E;5;43;81;38;23;3;4
9450;Amara;North Gondar;DEMBIA;Jangua 10 km from Koladiba to Chohaite;12-24-34-N;37-18-3-E;5;43;81;38;39;3;5
9451;Amara;North Gondar;KOLADIBA;Jangua 15 km from Koladiba to Chohaite;12-29-24-N;37-17-9-E;5;43;81;38;23;2;5
9452;Amara;North Gondar;DEMBIA;Meskele kirstos 15 km from Koladiba to Chohaite;12-26-11-N;37-18-21-E;5;44;81;37;21;3;4
9453;Amara;North Gondar;DEMBIA;Meskele kirstos 20 km from Koladiba to Chohaite;12-22-11-N;37-16-21-E;7;45;81;36;46;3;4
9454;Amara;North Gondar;DEMBIA;Meskele kirstos 19 km from Koladiba to Chohaite;12-21-39-N;37-15-3-E;7;45;81;36;40;2;4
9455;Amara;North Gondar;DEMBIA;Meskele kirstos 40 km from Koladiba on the way to Wachit;12-21-39-N;37-15-4-E;7;44;81;37;38;1;4
9456;Amara;North Gondar;DEMBIA;Cherkos 43 km Koladiba to Gongora;12-18-55-N;37-18-14-E;7;43;81;38;20;2;5
9457;Amara;North Gondar;DEMBIA;Gawrna 2 km Chohaite to Delgi town;12-20-27-N;37-12-42-E;7;42;81;39;33;2;4
9458;Amara;North Gondar;DEMBIA;Darna Gawrna 7 km from Chohaite;12-21-9-N;37-11-49-E;7;44;81;37;25;3;5
9459;Amara;North Gondar;DEMBIA;Womberdi 19 km Chohaite to Delgi;12-21-20-N;37-11-46-E;7;45;81;36;42;3;4
9460;Amara;North Gondar;DEMBIA;Gibgiba 15 km to Chohaite to Delgi;12-21-40-N;37-10-21-E;7;43;81;38;40;3;4
9463;Amara;North Gondar;DEMBIA;Warhie 17 km Chohite to Delgi;12-22-25-N;37-09-38-E;7;43;81;38;35;3;5
9464;Amara;North Gondar;DEMBIA;Marchuch 13 km from Chohite to Delgi;12-21-27-N;37-06-42-E;7;43;81;38;30;2;4
9465;Amara;North Gondar;DEMBIA;Fentaye bebha 25 km Chohite to Delgi;12-19-56-N;37-06-37-E;7;50;96;46;32;2;1
9466;Amara;North Gondar;DEMBIA;Fentaye 25 km from Chohite to Delgi;12-19-56-N;37-06-37-E;7;50;98;48;27;3;3
9467;Amara;North Gondar;DELGI;Guangue 15 km Delgi to shawra;12-12-28-N;37-00-48-E;7;50;98;48;23;2;1
9468;Amara;North Gondar;DELGI;Serako Tekle haimonot 6 km from the junction of Aykele;12-18-12-N;37-05-14-E;6;51;98;47;24;2;3
9469;Amara;North Gondar;CHILGA;22 km from junction of Delgi to Aykele;12-21-18-N;37-03-20-E;7;45;81;36;20;2;4
9470;Amara;North Gondar;CHILGA;Deserek 2 km from chan to Dibba to Aykele;12-23-57-N;37-01-7-E;7;55;98;43;39;2;3
9471;Amara;North Gondar;CHILGA;Serlia 15 km from Aykil to Delgie;12-29-00-N;37-23-9-E;7;50;99;49;21;2;4
9472;Amara;North Gondar;CHILGA;7 km from Aykele to Matema;12-31-53-N;37-03-39-E;7;56;101;45;46;2;1
9473;Amara;North Gondar;CHILGA;Baladigie 4 km Aykel to Gonder;12-33-57-N;37-05-12-E;7;51;98;47;25;2;1
9474;Amara;North Gondar;CHILGA;Amba  4 km Aykele to Gonder;12-33-57-N;37-05-12-E;7;50;98;48;42;2;2
9475;Amara;North Gondar;CHILGA;Senbet Kebre kebele 13 km Aykel to Gonder;12-31-49-N;37-11-56-E;7;43;81;38;20;3;4
9476;Amara;North Gondar;DEMBIA;Rufaiel 45 km Aykele to Gonder;12-32-35-N;37-22-8-E;7;43;81;38;40;2;4
9477;Amara;North Gondar;MAKSEGNIT;Rufaiel 7 km fro Gonder to Bahirdar;12-26-16-N;37-30-25-E;5;45;81;36;29;3;5
9478;Amara;North Gondar;MAKSEGNIT;Enchaye Degola 17 km from Gonder to Bahirdar;12-24-18-N;37-32-11-E;5;44;81;37;25;3;5
9479;Amara;North Gondar;MAKSEGNIT;Mantherno 49 km Gonder to Bahirdar;12-20-22-N;37-34-49-E;5;45;81;36;47;3;5
9480;Amara;North Gondar;MAKSEGNIT;Sorsr waha 25 km from Gonder to Bahirdar;12-14-40-N;37-37-41-E;5;50;98;48;19;2;3
9481;Amara;North Gondar;MAKSEGNIT;Debre slam 61 km Gonder to  Bahirdar;12-10-42-N;37-41-8-E;8;45;94;49;40;2;3
9482;Amara;South Gondar;ADDIS ZEMEN;Gnaza sirkia 61 km from Gonder to  Bahirdar;12-10-42-N;37-41-10-E;8;51;101;50;27;1;1
9483;Amara;NA;NA;Bura 83 km Gonder to  Bahirdar;12-03-55-N;37-44-23-E;8;45;94;49;37;2;3
9484;Amara;South Gondar;FOGERA;Tihuna zakna 1 km from the junction to Deber tabor;11-57-13-N;37-43-5-E;7;49;100;51;23;1;3
9485;Amara;South Gondar;FOGERA;Tiwaza kena 4 km from the  junction ot Wereta to Debre tabor;11-56-55-N;37-44-41-E;8;43;93;50;29;2;3
9486;Amara;South Gondar;FOGERA;Debre tabor 13 km Wodge maksegnit;11-55-54-N;37-48-43-E;6;47;101;54;25;2;3
9487;Amara;South Gondar;FOGERA;18 km  Wereta to Debre tabor;11-51-17-N;37-39-5-E;5;56;102;46;19;2;3
9488;Amara;Bahir Dar special;BAHIR DAR;Addis alem 7 km Bahirdar to Adeit Road;11-31-52-N;37-24-8-E;6;45;95;50;21;2;1
9489;Amara;Bahir Dar special;BAHIR DAR;Rufal 12 km Bahirdar to Adeit;11-29-53-N;37-23-49-E;8;44;101;57;24;2;5
9490;Amara;Bahir Dar special;BAHIR DAR;Wendata 14 km Bahirdar to Adeit;11-29-12-N;37-23-42-E;5;53;102;49;21;2;5
9491;Amara;Bahir Dar special;BAHIR DAR;Wendata 14 km Bahirdar to Adeit;11-24-12-N;37-23-42-E;5;51;100;49;18;2;3
9492;Amara;Bahir Dar special;BAHIR DAR;16 Kebele 14 km from Bahirdar to Adeit;11-35-14-N;37-21-20-E;5;49;97;48;24;3;5
9493;Amara;Bahir Dar special;BAHIR DAR;30 km Bahirdar to Markos;11-27-21-N;37-15-46-E;5;49;97;48;18;3;5
9494;Amara;West Gojam;MERAWI;Bachma 32 km from Bahirdar to Markos;11-26-54-N;37-14-10-E;7;48;97;49;23;3;5
9495;Amara;West Gojam;MERAWI;Bachma 35 km from Bahirdar to Markos;11-26-46-N;37-13-34-E;5;50;97;47;40;3;5
9496;Amara;West Gojam;ACHEFER;1 1/2 km Durbete to Markos;11-20-40-N;36-56-20-E;8;47;105;58;38;1;5
9497;Amara;Awi Agew;DANGELA;1 1/2 km Durbete to Markos;11-20-40-N;36-56-20-E;9;57;106;49;36;3;5
9498;Amara;Awi Agew;DANGELA;5 km Durbete to Markos;11-21-17-N;36-53-50-E;9;60;110;50;33;3;5
9499;Amara;Awi Agew;DANGELA;10 km from Durbete to Markos;11-16-48-N;36-53-24-E;6;61;101;40;22;3;5
9500;Amara;Awi Agew;DANGELA;Teklelimanot 15 km from Durbete to Markos;11-16-19-N;36-51-33-E;6;55;96;41;23;2;5
9501;Amara;Awi Agew;DANGELA;Bacha 1 km from Dangla to Abadra weast of Dangla town;11-17-27-N;36-49-52-E;6;44;93;49;40;2;4
9502;Amara;Awi Agew;DANGELA;Abadra 10 km Dangla to Hamusit;11-18-40-N;36-47-18-E;6;50;97;47;23;3;5
9503;Amara;Awi Agew;DANGELA;Abadra Agaga 10 km from Dangla to Hamusit;11-18-53-N;36-46-57-E;6;50;97;47;38;2;2
9504;Amara;Awi Agew;DANGELA;Brinta 7 km Dangla to Markos;11-12-22-N;36-51-29-E;6;51;98;47;36;2;2
9505;Amara;Awi Agew;DANGELA;13 km Dangla to Markos;11-10-1-N;36-51-58-E;6;45;98;53;33;2;2
9506;Amara;Awi Agew;DANGELA;Afra shiwa 14 km Dangla to Markos;11-09-26-N;36-52-3-E;6;45;98;53;25;3;5
9507;Amara;West Gojam;BURE WEMBERMA;Wundiey 4 km from Bahirdar to Burie;10-44-19-N;37-03-33-E;5;55;100;45;32;2;5
9508;Amara;West Gojam;MABKUSA;Mankussa zuria 15 km from Burie to Markos;10-41-56-N;37-11-54-E;6;44;95;51;23;2;5
9509;Amara;West Gojam;MABKUSA;Mankussa zuria 18 km from Burie to Markos;10-41-43-N;37-12-12-E;6;45;95;50;20;2;5
9510;Amara;West Gojam;FINOTE SELAM;NA;10-40-30-N;37-14-47-E;5;45;93;48;28;3;4
9511;Amara;West Gojam;FINOTE SELAM;Arbaytu enssa 2 1/2 km South East of Finote selam town;10-40-16-N;37-16-26-E;5;60;105;45;20;2;4
9512;Amara;West Gojam;JABI TEHNAN;Arbaytu enssa 2 1/2 km South East of Finote selam town;10-38-34-N;37-16-36-E;5;57;104;47;20;3;1
9513;Amara;West Gojam;JABI TEHNAN;Arbaytu enssa 2 1/2 km South East of Finote selam town;10-38-24-N;37-16-36-E;5;58;102;44;20;3;4
9515;Amara;West Gojam;JABI TEHNAN;Kuliebi gebriel 7 km from  Finote selam to Markos;10-40-33-N;37-19-50-E;5;59;102;43;24;2;4
9516;Amara;West Gojam;JABI TEHNAN;Wengie maream 16 km Finote selam to Markos;10-38-5-N;37-23-43-E;5;57;104;47;20;3;4
9517;Amara;West Gojam;DEMBECHA;Gomebe cher - 5 km S.W of Dembecha;10-34-2-N;37-28-5-E;5;54;100;46;25;2;5
9518;Amara;West Gojam;DEMBECHA;Yemehel neftegna from the junction to wude 10 km;10-31-18-N;37-26-14-E;5;59;104;45;33;5;5
9519;Amara;East Gojam;AMANUEL;Yowbesh 42 km from Markos to  Bahirdar;10-31-36-N;37-31-6-E;5;57;104;47;33;5;4
9520;Amara;East Gojam;AMANUEL;25 km  Markos to  Bahirdar;10-28-19-N;37-34-18-E;5;55;98;43;32;1;5
9521;Amara;East Gojam;MACHAKEL;yowla 20 km  Markos to  Bahirdar;10-23-48-N;37-34-36-E;5;50;97;47;26;3;5
9522;Amara;East Gojam;GUZAMN;Nraka;10-24-16-N;37-44-25-E;7;45;93;48;23;2;3
9523;Amara;East Gojam;GUZAMN;Melit 9 km Markos to Rob gebeya;10-25-42-N;37-43-41-E;8;44;95;51;39;2;2
9524;Amara;East Gojam;GUZAMN;Melit 13 km Markos to Rob gebeya;10-26-18-N;37-43-55-E;7;44;95;51;21;2;5
9525;Amara;East Gojam;GUZAMN;04 Kebele 3 km Markos to S.W way;10-19-19-N;37-42-45-E;5;45;95;50;46;2;5
9526;Amara;East Gojam;GUZAMN;05 Kebele 5 km Markos;10-18-49-N;37-42-9-E;5;53;102;49;28;3;5
9527;Amara;East Gojam;GUZAMN;7 km S.W of Markos;10-18-7-N;37-41-27-E;8;49;100;51;26;5;4
9528;Amara;NA;NA;14 km S.W of Markos;10-16-32-N;37-40-7-E;5;45;95;50;24;5;4
9529;Amara;East Gojam;ANEDED;Yewebi nech to chifreg on the junction to yewebe baso Road;10-16-17-N;37-46-40-E;5;45;95;50;25;2;2
9530;Amara;East Gojam;ANEDED;Yewobi yenejo 4 km from East of Basso;10-16-12-N;37-45-55-E;7;44;95;51;20;4;5
9531;Amara;East Gojam;ANEDED;Afaflay gote 4 km from East of baso Road;10-16-12-N;37-45-55-E;8;43;94;51;42;2;4
9532;Amara;East Gojam;ANEDED;yewobi Nech of 1 km from the junction Baso Road;10-16-15-N;37-46-48-E;5;47;98;51;40;2;4
9534;Amara;East Gojam;ANEDED;Wongo nfasa 16 km Debere markos to Addis Ababa;10-16-55-N;37-48-26-E;7;48;98;50;35;2;4
9535;Amara;East Gojam;ANEDED;Ggouga Nifasam 20 km Debere markos to Addis Ababa;10-16-08-N;37-49-57-E;7;54;101;47;25;3;4
9537;Amara;East Gojam;ANEDED;Sheefa wuba lenla 27 km from Debere markos to Addis Ababa;10-14-35-N;37-51-3-E;5;47;99;52;40;2;4
9538;Amara;East Gojam;ANEDED;Sheefa wuba lenla 27 km from Debere markos to Addis Ababa;10-14-35-N;37-51-34-E;5;47;100;53;23;5;5
9539;Amara;East Gojam;ANEDED;Simno 35 km Debere markos to Addis Ababa;10-14-43-N;37-54-3-E;7;53;98;45;39;5;4
9540;Amara;East Gojam;LUMAME;Tabya Godana 40 km Debere markos to Addis Ababa;10-14-48-N;37-57-17-E;9;50;96;46;27;2;3
9541;Amara;East Gojam;LUMAME;Tabya Godana 40 km Debere markos to Addis Ababa;10-14-48-N;37-57-17-E;9;45;95;50;37;2;4
9542;Amara;East Gojam;LUMAME;40 km Debere markos to Addis Ababa;10-18-38-N;37-58-54-E;5;56;103;47;29;2;4
9543;Amara;East Gojam;LUMAME;Weyel 50 km Debere markos to Addis Ababa;10-13-29-N;38-00-33-E;5;55;103;48;25;2;4
9544;Amara;East Gojam;LUMAME;Gofat 70 km Debere markos to Addis Ababa;10-13-53-N;38-02-17-E;5;52;103;51;23;2;4
9545;Amara;East Gojam;DEJEN;From the junction of Dejen to Bichena;10-14-52-N;38-08-00-E;5;45;95;50;21;2;3
9546;Amara;East Gojam;DEJEN;Tikyet hora from the junction of Dejen to Bichena;10-14-52-N;38-08-00-E;5;51;103;52;20;3;4
9547;Amara;East Gojam;DEJEN;Guna gote 6 km from the junction of Dejen to Bichena town;10-15-21-N;38-07-58-E;5;50;103;53;24;2;3
9548;Amara;East Gojam;DEJEN;Guna gote 6 km from the junction of Dejen to Bichena;10-15-21-N;38-07-58-E;7;56;103;47;18;2;4
9549;Amara;East Gojam;DEJEN;Sheshengu 8 km junction of Dejen to Bichena;10-16-55-N;38-07-55-E;7;55;103;48;32;3;4
9550;Amara;East Gojam;DEJEN;Sheshengu 10 km junction of Dejen to Bichena;10-18-27-N;38-08-31-E;7;54;102;48;23;2;1
9551;Amara;East Gojam;DEJEN;Kik 8 km from Dejen to Markos;10-13-52-N;38-07-49-E;7;47;104;57;40;2;5
9552;Amara;East Gojam;DEJEN;Zemetin 12 km from Dejen to Markos;10-11-9-N;38-08-28-E;7;48;103;55;38;2;4
9553;Amara;East Gojam;DEJEN;Gibgib 1 1/2 km from Dejen to Addis Ababa;10-08-44-N;38-09-30-E;7;50;103;53;28;3;5
9554;Amara;East Gojam;DEJEN;3 km  Dejen to Addis Ababa;10-08-33-N;38-09-49-E;7;43;94;51;36;2;3
9555;Amara;East Gojam;DEJEN;10 km Dejen to Addis Ababa;10-06-45-N;38-09-13-E;7;57;107;50;27;3;4
9556;Amara;East Gojam;DEJEN;Woyoch 16 km Dejen to Addis Ababa;10-05-58-N;38-10-5-E;8;56;107;51;29;3;4
9557;Oromiya;North Shewa;GOHATSION;Fililek 12 km Abay River to Addis Ababa;10-03-2-N;38-14-22-E;7;56;107;51;30;4;5
9558;Oromiya;North Shewa;GOHATSION;Moto kola 15 km Abay River to Addis Ababa;10-02-20-N;38-14-27-E;7;57;115;58;33;2;1
9559;Oromiya;North Shewa;GOHATSION;6 km Goha Tsion to Addis Ababa;09-59-36-N;38-16-00-E;7;46;97;51;19;2;4
9560;Oromiya;North Shewa;GOHATSION;6 km Goha Tsion to Addis Ababa;09-59-36-N;38-16-00-E;7;51;103;52;16;2;4
9561;Oromiya;North Shewa;WARA JARSO;Welie chilalo 10 km Goha Tsion to Addis Ababa;09-58-4-N;38-17-36-E;8;51;101;50;35;2;5
15294;Tigray;East Tigray;SAESI TSAEDAEMBA;Emba 35 km from Wukro to Adigrat;13-59-52-N;39-35-34-E;8;50;97;47;18;2;5
15295;Tigray;East Tigray;SAESI TSAEDAEMBA;Mymegelte 10 km Senkat to Adigrat;14-00-22-N;39-37-35-E;8;54;102;48;28;2;3
15296;Tigray;East Tigray;SAESI TSAEDAEMBA;Takot 35 km from Wukro to Adigrat;13-59-52-N;39-33-41-E;8;58;100;42;25;2;3
15297;Tigray;East Tigray;EDAGA HAMUS;Gugena  9 km from Edega Hamus to Adigrat;14-12-26-N;39-32-25-E;7;45;95;50;20;2;4
15298;Tigray;NA;NA;Near Adigrat Town;14-12-26-N;39-32-45-E;7;45;94;49;20;2;4
15299;Tigray;East Tigray;ADIGRAT;Seiyet 3 km from Adigrat to Adwa Road;14-13-5-N;39-30-53-E;8;55;100;45;20;2;3
15300;Tigray;East Tigray;GANTA AFESHUM;Adigrat Bezet the Bourder of Eretria;14-15-17-N;39-28-48-E;8;45;95;50;20;2;2
15301;Tigray;East Tigray;GANTA AFESHUM;Adigrat 2 km from Adigrat to Mekele;14-15-12-N;39-28-49-E;5;50;100;50;25;2;4
15302;Tigray;East Tigray;GANTA AFESHUM;Sarum/Hilie 5 km from Adigrat to Mekele;14-15-12-N;39-28-49-E;5;44;94;50;26;2;3
15303;Tigray;East Tigray;GANTA AFESHUM;Shum 7 km from adigrat to Mekele;14-13-4-N;39-30-54-E;5;45;95;50;24;2;1
15304;Tigray;South Tigray;ALAMATA;Hebereh Town Alanata 66 km to Dessie;12-20-55-N;39-33-50-E;7;42;84;42;25;2;2
15305;Tigray;South Tigray;ALAMATA;Waja 13 km from Alamata to Dessie;12-20-53-N;39-35-53-E;7;43;85;42;19;2;5
15306;Tigray;South Tigray;ALAMATA;Waja 13 km from Alamata to Dessie;12-20-53-N;39-37-00-E;8;44;85;41;18;2;4
15307;Amara;North Wolo;KOBO;Dure Kebele 35 km from Kobo to Dessie;12-09-11-N;39-38-32-E;7;43;84;41;34;1;5
15308;Amara;South Wolo;BASO MILIE;Burkit River Gan weha 4 km from;11-22-48-N;39-38-37-E;7;43;86;43;28;2;4
15309;Amara;North Shewa;ATAYE(EFESON);Koro 5 km from Ataye Town;10-20-22-N;39-58-32-E;8;43;84;41;27;2;5
15318;Amara;North Shewa;MINJARNA SHENKORA;Yemsker Got;08-55-50-N;39-20-27-E;5;51;100;49;29;3;5
15319;Amara;North Shewa;MINJARNA SHENKORA;Yemsker Got;08-55-50-N;39-20-27-E;5;44;95;51;32;2;1
15320;Amara;North Shewa;MINJARNA SHENKORA;Eranbati;08-55-56-N;39-20-25-E;5;56;107;51;32;3;2
