Accession;Region;Zone;District;Locality;Lat;Long;Edate;Hdate;Mdate;GfilP;PL;Ptype;SC
19447;Amara;West Gojam;MANKUSA;Zaba Tsion 17 km Fnote Selam to Baher Dar;10-41-52-N;37-09-21-E;7;52;96;44;29;3;2
19448;Amara;West Gojam;BURE;Wan Gedam 25 km Fnote Selam to Baher Dar;10-42-21-N;37-06-51-E;5;43;94;51;39;2;4
19449;Amara;West Gojam;BURE;Wan Gedam 27 km Fnote Selam to Baher Dar;10-42-16-N;37-06-21-E;7;44;93;49;21;2;4
19450;Amara;West Gojam;BURE;Wan Gedam 30 km Fnote Selam to Baher Dar;10-42-43-N;37-06-21-E;7;48;94;46;46;2;4
19451;Amara;West Gojam;BURE;Wendigie mariam 7 km from Burie to Baher Dar;10-44-14-N;37-03-41-E;7;44;95;51;25;2;4
19452;Amara;West Gojam;BURE;Bundie 8 km Burie to Baher Dar;10-45-01-N;37-03-12-E;7;56;96;40;32;3;4
19453;Amara;West Gojam;BURE;Gusha - shinkurta 11 km Burie to Baher Dar;10-45-44-N;37-03-00-E;5;45;94;49;35;2;3
19454;Amara;Awi Agew;TILILI;Gusha - shinkurta 12 km Burie to Baher Dar;10-46-51-N;37-03-26-E;7;50;96;46;38;3;4
19455;Amara;Awi Agew;TILILI;Absila 25 km Burie to Baher Dar;10-48-21-N;37-03-01-E;7;50;96;46;42;2;4
19456;Amara;Awi Agew;TILILI;Jibaita 30 km Burie to Baher Dar;10-52-43-N;36-59-38-E;7;45;95;50;40;2;3
19457;Amara;Awi Agew;BANJA;Batambi 7 km Kosober to Chagne;10-56-50-N;36-52-24-E;8;49;96;47;35;2;2
19458;Amara;Awi Agew;KOSOBER;Aho 8 km Kosober to Chagne;10-56-13-N;36-23-54-E;7;49;96;47;40;2;4
19459;Amara;Awi Agew;KOSOBER;Aho 8 km Kosober to Chagne;10-56-13-N;36-53-51-E;7;49;96;47;27;2;3
19460;Amara;Awi Agew;KOSOBER;Bata 10 km Kosober to Chagne;10-42-31-N;36-52-39-E;5;50;96;46;37;2;2
19461;Amara;Awi Agew;BANJA;Ambibata 12 km Kosober to Chagne;10-56-18-N;36-51-40-E;5;44;95;51;29;2;2
