entry	PW_T	PL_T	SEV_T
3_40	0.604666667	13.06666667	3.766666667
3_43	1.133157895	35.78947368	2.684210526
3_44	0.762941176	24.47058824	2.676470588
3_46	0.81	24.54166667	2.708333333
3_53	0.948421053	36.10526316	2
3_55	0.874	27.46666667	2.433333333
3_56	0.781578947	23.47368421	2.236842105
3_71	0.865882353	31.35294118	2.705882353
3_82	0.914375	25.5625	2.0625
3_84	0.4675	11.75	4
30_11	0.875263158	37.15789474	2.526315789
30_13	0.826666667	24.55555556	3.027777778
30_16	0.6625	33.8125	2.59375
30_22	0.9	35.05555556	2.333333333
30_23	0.656153846	15.23076923	3.538461538
30_24	0.862	35.2	2.325
30_25	0.852352941	34.29411765	2.823529412
30_4	0.545714286	12.42857143	4.142857143
30_6	0.74	34.15789474	2.526315789
30_7	0.793333333	32.53333333	2.633333333
30_8	0.981333333	35.26666667	2.533333333
31_10	0.727777778	22.5	3.027777778
31_12	0.634	21.8	3.225
31_15	1.13	39.65	2.125
31_16	0.705625	23.125	3.1875
31_17	0.943	35.1	1.9
31_18	0.926	30.9	2.825
31_21	0.919	24.25	2.725
31_30	0.771	25.95	3.25
31_31	1.0265	36.65	2.5
31_4	0.861666667	35.08333333	2.708333333
31_5	0.656428571	17.57142857	3.892857143
31_6	1.0825	40.9	2.35
32_11	0.634	16.8	3.5
32_18	0.906666667	31.38888889	2.583333333
32_2	0.678888889	20.33333333	3.388888889
32_25	0.6675	25.5	3.3125
32_3	0.773333333	29.11111111	2.888888889
32_31	0.815	23.72222222	3.111111111
32_33	0.633846154	23.92307692	2.615384615
32_38	1.0115	36.85	2.125
32_39	0.57125	16.25	3.8125
32_40	0.838125	23.75	3.09375
32_41	0.6575	24.08333333	2.5
32_42	0.699090909	17	2.909090909
32_5	1.001578947	32.57894737	2.657894737
32_9	0.664705882	22.76470588	2.794117647
33_11	0.832857143	27.14285714	3.071428571
33_12	0.6875	27.45	2.975
33_19	0.836666667	29.11111111	2.75
33_20	0.805263158	38.78947368	2.263157895
33_23	0.8815	37.05	2.425
33_30	0.6935	28.85	3.05
33_33	0.545384615	11.46153846	4.230769231
33_34	0.812222222	27.66666667	2.694444444
33_43	0.759473684	30.15789474	2.605263158
33_44	1.093	41.25	1.8
33_5	0.605454545	17.81818182	3.727272727
34_10	0.8635	32.75	2.425
34_18	0.275	2.7	4.65
34_23	0.693	30.1	2.85
34_26	0.833846154	23.92307692	3.230769231
34_31	1.08	32	2.657894737
34_33	0.859444444	38.55555556	2.527777778
34_36	0.734	26.75	2.7
34_39	1.305	45.75	2.425
34_4	0.955	33.4	2.125
34_52	0.965294118	36.64705882	2.352941176
34_54	0.711333333	20.66666667	3.733333333
34_72	0.645555556	20.61111111	3.472222222
34_75	0.610555556	17.72222222	3.305555556
35_13	0.9065	37.05	2.675
35_15	0.928421053	33.21052632	2.394736842
35_33	0.625882353	30.23529412	3.147058824
35_43	0.648823529	28.76470588	2.970588235
35_5	0.85	29.85714286	2.75
35_7	0.565833333	20.16666667	3.375
35_8	0.8475	30.91666667	2.666666667
4_1	0.7645	25.45	2.15
4_11	0.683125	28.71875	2.21875
4_35	0.46	10	4.222222222
4_36	0.711666667	28.22222222	2.527777778
4_55	0.592307692	20.23076923	3.230769231
4_61	0.689375	26.1875	2.3125
4_67	0.653846154	28.07692308	3.115384615
4_68	0.706875	20.25	3.0625
5_12	0.795	29.3	2
5_14	0.634545455	23.45454545	3.181818182
5_18	0.624	23.33333333	2.9
5_25	0.786111111	28.44444444	2.666666667
5_26	0.80125	24.46875	2.40625
5_29	0.938888889	31.94444444	1.694444444
5_3	0.822631579	35.68421053	1.657894737
5_34	0.69625	24.40625	2.4375
5_41	0.745555556	26.77777778	2.611111111
5_42	0.534666667	20.86666667	3.433333333
5_47	0.906315789	29.84210526	1.973684211
5_66	0.628888889	26.33333333	3.388888889
6_19	0.651052632	37.73684211	2.263157895
6_22	0.455714286	13.28571429	2.392857143
6_33	0.85	27.375	2.75
6_35	0.597368421	23.05263158	2.368421053
6_36	0.577368421	28.63157895	2.947368421
6_4	0.8615	29.975	2.675
6_50	0.544117647	24.70588235	3.088235294
6_59	0.395	6.25	4.5625
6_66	0.49	9.461538462	4.076923077
6_7	0.674	17.4	3.2
6_70	0.580625	25.5	2.59375
6_9	0.624	18.75	2.9
7_17	0.871578947	24.47368421	2.289473684
7_20	0.859333333	29.8	2.866666667
7_33	0.877222222	21.22222222	2.75
7_47	0.597058824	20.23529412	2.852941176
7_50	0.755555556	24.83333333	2.472222222
7_53	0.714	21.4	2.166666667
7_54	0.794444444	26.61111111	2.25
7_55	0.853	30.1	2.025
7_6	0.982352941	28	2.088235294
7_65	0.684	24.73333333	2.766666667
7_69	0.569444444	11.38888889	4.083333333
7_70	0.578	17.9	3.55
8_2	0.599333333	15.4	3.633333333
8_38	1.093125	27.125	2.84375
8_52	0.638461538	13.46153846	3.884615385
8_55	0.73	21.45454545	2.863636364
8_58	0.474444444	17.27777778	2.194444444
8_69	0.7125	15.0625	3.3125
8_73	1.050526316	25.26315789	2.789473684
8_78	0.595	23.88888889	3
9_10	0.674117647	15.88235294	3.264705882
9_21	0.484	16.5	3.35
9_52	0.542727273	11	4.136363636
9_65	0.507647059	15.58823529	2.941176471
9_67	0.38	9.461538462	4.230769231
9_69	0.692	24.2	3
9_70	0.850714286	20	3
9_71	0.900666667	24.46666667	2.933333333
9_9	0.5445	20.4	3.025
